Name,Config,FLOPs,Parameters,Top 1 Accuracy,Top 5 Accuracy,Epochs,Batch Size,Training Techniques
swinv2-base-w24_in21k-pre_3rdparty_in1k-384px,configs/swin_transformer_v2/swinv2-base-w24_in21k-pre_16xb64_in1k-384px.py,34070000000,87920000,87.14,98.23,,,
deit3-large-p16_in21k-pre_3rdparty_in1k,configs/deit3/deit3-large-p16_64xb64_in1k.py,61603111936,304374760,86.97,98.24,,,
convnext-xlarge_in21k-pre_3rdparty_in1k,configs/convnext/convnext-xlarge_64xb64_in1k.py,60929820672,350196968,86.97,98.2,,,
swinv2-large-w16_in21k-pre_3rdparty_in1k-256px,configs/swin_transformer_v2/swinv2-large-w16_in21k-pre_16xb64_in1k-256px.py,33860000000,196750000,86.93,98.06,,,
vit-huge-p14_mae-1600e-pre_8xb128-coslr-50e_in1k,configs/mae/benchmarks/vit-huge-p14_8xb128-coslr-50e_in1k.py,167399096320,632043240,86.9,,50.0,1024.0,
vit-base-p16_clip-openai-in12k-pre_3rdparty_in1k-384px,configs/clip/vit-base-p16_pt-64xb64_in1k-384px.py,49370078208,86568424,86.87,98.05,,,
efficientnet-b7_3rdparty-ra-noisystudent_in1k,configs/efficientnet/efficientnet-b7_8xb32_in1k.py,39316473392,66347960,86.83,98.08,,,
convnext-base_in21k-pre-3rdparty_in1k-384px,configs/convnext/convnext-base_32xb128_in1k-384px.py,45205885952,88591464,86.82,98.25,,,
convnext-v2-base_fcmae-in21k-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-base_32xb32_in1k.py,15382561792,88717800,86.74,98.02,,,
deit3-base-p16_in21k-pre_3rdparty_in1k-384px,configs/deit3/deit3-base-p16_64xb32_in1k-384px.py,55538974464,86877160,86.73,98.11,,,
replknet-31L_in21k-pre_3rdparty_in1k-384px,configs/replknet/replknet-31L_32xb64_in1k-384px.py,97240006656,172671016,86.63,98.0,,,
convnext-large_in21k-pre_3rdparty_in1k,configs/convnext/convnext-large_64xb64_in1k.py,34368026112,197767336,86.61,98.04,,,
vit-base-p16_clip-laion2b-pre_3rdparty_in1k-384px,configs/clip/vit-base-p16_pt-64xb64_in1k-384px.py,49370078208,86568424,86.52,97.97,,,
beit-base-p16_beitv2-in21k-pre_3rdparty_in1k,configs/beitv2/benchmarks/beit-base-p16_8xb64_in1k.py,17581219584,86530984,86.47,97.99,,,
efficientnet-b6_3rdparty-ra-noisystudent_in1k,configs/efficientnet/efficientnet-b6_8xb32_in1k.py,19971777560,43040704,86.47,97.87,,,
tinyvit-21m_in21k-distill-pre_3rdparty_in1k-512px,configs/tinyvit/tinyvit-21m-distill_8xb256_in1k-512px.py,27151420224,21268120,86.44,97.89,,,
swin-base_in21k-pre-3rdparty_in1k-384,configs/swin_transformer/swin-base_16xb64_in1k-384px.py,44490000000,87900000,86.44,98.05,,,
efficientnetv2-xl_in21k-pre_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-xl_8xb32_in1k-512px.py,98341230592,208119808,86.39,97.83,,,
efficientnetv2-l_in21k-pre_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-l_8xb32_in1k-480px.py,60142387008,118515272,86.31,97.99,,,
vit-base-p16_clip-openai-pre_3rdparty_in1k-384px,configs/clip/vit-base-p16_pt-64xb64_in1k-384px.py,49370078208,86568424,86.25,97.9,,,
convnext-v2-huge_fcmae-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-huge_32xb32_in1k.py,114998639360,660289640,86.25,97.75,,,
swin-large_in21k-pre-3rdparty_in1k,configs/swin_transformer/swin-large_16xb64_in1k.py,34040000000,196530000,86.24,97.88,,,
tinyvit-21m_in21k-distill-pre_3rdparty_in1k-384px,configs/tinyvit/tinyvit-21m-distill_8xb256_in1k-384px.py,13848250176,21230488,86.21,97.77,,,
swinv2-base-w16_in21k-pre_3rdparty_in1k-256px,configs/swin_transformer_v2/swinv2-base-w16_in21k-pre_16xb64_in1k-256px.py,15140000000,87920000,86.17,97.88,,,
xcit-large-24-p8_3rdparty-dist_in1k-384px,configs/xcit/xcit-large-24-p8_8xb128_in1k-384px.py,415003137792,188932648,86.13,97.75,,,
efficientnet-b5_3rdparty-ra-noisystudent_in1k,configs/efficientnet/efficientnet-b5_8xb32_in1k.py,10799472560,30389784,86.08,97.75,,,
vit-base-p16_clip-laion2b-in12k-pre_3rdparty_in1k,configs/clip/vit-base-p16_pt-64xb64_in1k.py,16855600128,86568424,86.02,97.76,,,
replknet-31B_in21k-pre_3rdparty_in1k-384px,configs/replknet/replknet-31B_32xb64_in1k-384px.py,45952303104,79864168,85.99,97.75,,,
vit-base-p16_clip-openai-in12k-pre_3rdparty_in1k,configs/clip/vit-base-p16_pt-64xb64_in1k.py,16855600128,86568424,85.99,97.72,,,
xcit-medium-24-p8_3rdparty-dist_in1k-384px,configs/xcit/xcit-medium-24-p8_8xb128_in1k-384px.py,186672626176,84323624,85.87,97.61,,,
deit3-large-p16_3rdparty_in1k-384px,configs/deit3/deit3-large-p16_64xb16_in1k-384px.py,191210034176,304763880,85.82,97.6,,,
convnext-base_in21k-pre_3rdparty_in1k,configs/convnext/convnext-base_32xb128_in1k.py,15359124480,88591464,85.81,97.86,,,
xcit-large-24-p16_3rdparty-dist_in1k-384px,configs/xcit/xcit-large-24-p16_8xb128_in1k-384px.py,105345095424,189096136,85.78,97.6,,,
vit-small-p14_eva02-in21k-pre_3rdparty_in1k-336px,configs/eva02/eva02-small-p14_in1k.py,15476744064,22133608,85.78,97.6,,,
vit-base-p32_clip-laion2b-in12k-pre_3rdparty_in1k-448px,configs/clip/vit-base-p32_pt-64xb64_in1k-448px.py,17202416640,88225000,85.76,97.63,,,
convnext-v2-large_fcmae-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-large_32xb32_in1k.py,34403182080,197956840,85.76,97.59,,,
convnext-small_in21k-pre_3rdparty_in1k-384px,configs/convnext/convnext-small_32xb128_in1k-384px.py,25580818176,50223688,85.75,97.88,,,
deit3-base-p16_in21k-pre_3rdparty_in1k,configs/deit3/deit3-base-p16_64xb64_in1k.py,17581972224,86585320,85.7,97.75,,,
vit-large-p16_mae-1600e-pre_8xb128-coslr-50e_in1k,configs/mae/benchmarks/vit-large-p16_8xb128-coslr-50e_in1k.py,61602103296,304324584,85.7,,50.0,1024.0,
vit-large-p16_in21k-pre_3rdparty_in1k-384px,configs/vision_transformer/vit-large-p16_64xb64_in1k-384px.py,191210034176,304715752,85.63,97.63,,,
xcit-small-24-p8_3rdparty-dist_in1k-384px,configs/xcit/xcit-small-24-p8_8xb128_in1k-384px.py,105236704128,47631112,85.57,97.6,,,
deit-base-distilled_224px-pre_3rdparty_in1k-384px,configs/deit/deit-base-distilled_16xb32_in1k-384px.py,55645294080,87630032,85.55,97.35,,,
convnext-large_3rdparty_in1k-384px,configs/convnext/convnext-large_64xb64_in1k-384px.py,101103214080,197767336,85.5,97.59,,,
